scheme,billing_line,description,recovery_2020,recovery_2021,recovery_2023,last_seen,is_acquiring
VI,3C2111060,ACTIVITY FILE CHECK&ADVICE CREATION - INTERNATIONAL,B,Not included,Not included,2021-02-01,N
VI,3C2112070,ACTIVITY FILE CHECK&ADVICE CREATION - INTRA REGIONAL,B,Not included,Not included,2019-11-30,N
VI,3C2112050,ADVICE CREATION - INTRA REGIONAL,B,Not included,Not included,2019-07-31,N
VI,3H4010116,180 - RFC FULFILLMENTS SUBMITTED,Non-Sale,Scheme B,D,2019-07-31,Y
VI,3C2112121,AUTHORISATIONS BY BASE - DOMESTIC,A,Not included,Not included,2019-07-31,N
VI,3J4293543,SMS Issuer Auth Inter - STIP,A,Not included,Not included,2022-10-01,N
VI,3C2112155,EXCEPTION FILE CHECK ONLY - DOMESTIC,B,Not included,Not included,2019-07-31,N
VI,3F3527718,NON-DEFAULT VSS REPORT VSS-230,C,Not included,Not included,2021-05-01,N
VI,3C2163441,CLIENT IMPLEMENTATION PROJECT MANAGEMENT,b,Project Fee,C,2021-10-01,Y
VI,3J4293545,SMS Issuer Auth Domestic - STIP,A,Not included,Not included,2019-07-31,N
VI,3J4201700,CASH WITHDRAWAL - DOMESTIC,A,Not included,Not included,2020-12-31,N
VI,3J4221100,BATCH DEFERRED CLEARING - INTERNATIONAL,A,Not included,Not included,2020-10-31,N
VI,3F3521200,CASH REPRESENTMENT REVERSAL - INTERNATIONAL,A,Not included,Not included,2019-07-31,N
VI,6F3529090,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Not included,Not included,2019-07-31,N
VI,3J4202220,FUNDS DISBURSEMENT - DOMESTIC,A,Not included,Not included,2021-07-01,N
VI,3F3516715,PURCHASE REPRESENTMENT - INTRA REGIONAL,Non-Sale,Non-Sales,D,2019-08-31,Y
VI,3F3522900,REQUEST FOR PHOTOCOPY - INTERNATIONAL,Non-Sale,Non-Sales,C,2019-07-31,Y
VI,3F3516775,PURCHASE REPRESENTMENT REVERSAL - INTRA REGIONAL,Non-Sale,Non-Sales,D,2019-07-31,Y
VI,3F3622900,REQUEST FOR PHOTOCOPY - DOMESTIC,Non-Sale,Scheme B,C,2019-07-31,Y
VI,3J4293546,SMS ISSUER AUTH Non EEA INTRA - ISSUER ,A,Not included,Not included,2019-11-30,N
VI,3J4293505,ISSUER SHARE OF ISA-INTER-REGIONAL MC,A,Not included,Not included,2020-12-31,N
VI,3Z9999110,PAYMENTS/COLLECTIONS,Behavr-Integrity,One off,B,2022-12-01,Y
VI,3C2112045,EXCEPTION FILE CHECK ONLY - INTRA REGIONAL,B,Not included,Not included,2019-07-31,N
VI,3C2163444,IPK - ISSUER PUBLIC KEYS ,TO REVIEW,Not included,C,2020-10-31,Y
VI,3R9900010,Acquirer Interchange Reporting Service,B,Scheme B,B,2019-08-31,Y
VI,3B1121003,ACQUIRING ID ASSIGNMENT FEE,Implemt-Proj,Scheme B,F,2021-11-01,Y
VI,3Z9999901,EMV 3DS ABANDONMENT BEHAVIOURAL FEE,B,Non Sales,Not included,2020-10-31,N
VI,3B1103131,MARKET DEVELOPMENT CONTRIBUTION - SOUTH EAST EUROPE,Scheme B Partial,Not included,C,2019-09-30,Y
VI,3J4201000,BATCH DEFERRED CLEARING - DOMESTIC,A,Not included,Not included,2020-12-31,N
VI,3J4229180,CASH WITHDRAWAL - INTERNATIONAL,A,Not included,Not included,2020-12-31,N
VI,3J4299595,ACQUIRER AUTHORISATION DOMESTIC NON VISA POS,A,Scheme A,A,2021-12-01,Y
VI,3F3518700,PURCHASE CHARGEBACK REVERSAL - DOMESTIC,Non-Sale,Non-Sales,D,2019-09-30,Y
VI,3C2163471,VISA MERCHANT SCREENING SERVICE (VMSS) IN EU,B,Scheme B,B,2022-11-01,Y
VI,3B1103130,MARKET DEVELOPMENT CONTRIBUTION - CENTRAL EUROPE,Scheme B Partial,Scheme B,B,2021-03-01,Y
VI,3Z9900224,VISA ANALYTICS PLATFORM-TAX,TO REVIEW,Scheme B,V,2022-11-01,Y
VI,3Z9999570,AUTHORIZATION DECLINE FEE,TO REVIEW,Not included,D,2019-07-31,Y
VI,3F3510121,PURCHASE ORIGINALS - NON EEA INTRA REGIONAL,TO REVIEW,Scheme A,Not included,2019-07-31,N
VI,3F3510500,CREDIT ORIGINAL - DOMESTIC,A,Non-Sales,Not included,2019-07-31,N
VI,3F3513100,CREDIT ORIGINAL - INTERNATIONAL,A,Non-Sales,Not included,2019-07-31,N
VI,3F3510200,PURCHASE ORIGINAL REVERSAL - INTRA REGIONAL,Non-Sale,Not included,Not included,2019-09-30,N
VI,3F3510141,CREDIT ORIGINALS - NON EEA INTRA REGIONAL,TO REVIEW,Scheme A,Not included,2019-07-31,N
VI,3F3510170,PURCHASE CHARGEBACK - INTRA REGIONAL,TO REVIEW,Non Sales,Not included,2020-03-31,N
VI,3F3510900,PURCHASE CHARGEBACK - DOMESTIC,TO REVIEW,Non Sales,Not included,2020-03-31,N
VI,3F3513500,PURCHASE CHARGEBACK - INTERNATIONAL,TO REVIEW,Non Sales,Not included,2020-10-31,N
VI,3F3514700,PURCHASE CHARGEBACK REVERSAL - INTERNATIONAL,TO REVIEW,Non Sales,Not included,2020-09-30,N
VI,3F3527400,OTHER (GENERAL DELIVERY REPORTS),TO REVIEW,Not included,B,2019-07-31,Y
VI,3F3529085,ATM SHF CREDIT -INTRA-REGIONAL,FINE,Non Sales,Not included,2019-07-31,N
VI,3F3516810,CREDIT CHARGEBACK REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,D,2020-09-30,Y
VI,3J4275141,NON EEA CASH WITHDRAWAL ADJUSTMENT - INTRA REGIONAL,A,Not included,Not included,2022-12-01,N
VI,3J4201660,POS CANCELLATION - DOMESTIC,TO REVIEW,Non Sales,Not included,2019-10-31,N
VI,3J4229140,POS CANCELLATION - INTERNATIONAL,TO REVIEW,Non Sales,Not included,2019-09-30,N
VI,3F3529336,ISSUER SHARE OF ISA-INTER-REGIONAL SC,A,Not included,Not included,2021-11-01,N
VI,3B1121000,ISSUING BIN ASSIGNMENT FEE,TO REVIEW,Not included,B,2020-08-31,Y
VI,3Z9999106,IRF ADJUSTMENT REF B,TO REVIEW,Not included,A,2022-10-01,Y
VI,3M6142308,VROL CASE FILING REVIEW,Pass-through CHB,Non-Sales,D,2021-12-01,Y
VI,3F3517000,PURCHASE ORIGINAL REPRESENTMENT - DOMESTIC,Non-Sale,Non-Sales,D,2022-11-01,Y
VI,3B1102190,INNOVATION AND MARKET DEVELOPMENT FEE,TO REVIEW,Not included,B,2020-02-29,Y
VI,3CSF02535,ISSUER CARD SERVICE FEE - COMMERCIAL IMMEDIATE DEBIT VOLUME FEE,A,Scheme B,Not included,2021-01-01,N
VI,3CSF02710,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - MALTA,B,Scheme B,B,2021-01-01,Y
VI,3CSF02730,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - ESTONIA,B,Scheme B,B,2021-01-01,Y
VI,3CSF02735,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - LATVIA,B,Scheme B,B,2021-01-01,Y
VI,3CSF02740,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - LITHUANIA,B,Scheme B,B,2021-01-01,Y
VI,3CSF02755,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - NETHERLANDS,B,Scheme B,B,2021-01-01,Y
VI,3CSF02903,ACQUIRER INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - LUXEMBOURG,TO REVIEW,Scheme B,B,2020-10-31,Y
VI,3CSF02922,ACQUIRER INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - POLAND,B,Scheme B,B,2021-01-01,Y
VI,3CSF02925,ACQUIRER INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - CZECH REPUBLIC,B,Scheme B,B,2021-01-01,Y
VI,3CSF07100,ACQUIRER CARD SERVICE FEE - ACCEPTANCE LOCATION VOLUME FEE,TO REVIEW,Not included,A,2020-07-31,Y
VI,3F3528903,NON EEA INTERNATIONAL ACQUIRING FEE - Adjustment,TO REVIEW,Not included,A,2020-05-31,Y
VI,3B1102237,ACQUIRER INTERNATIONAL CARD NOT PRESENT ADJUSTMENT,TO REVIEW,Not included,A,2020-07-31,Y
VI,3Z9999105,IRF ADJUSTMENT REF A,TO REVIEW,Non Sales,Not included,2020-07-31,N
VI,3H4010141,BLOCKED INVALID DISPUTE BY EDIT,Non-Sale,Not included,Not included,2021-12-01,N
VI,3M6164225,ADDRESS VERIFICATION SERVICE - ISSUER FEE,TO REVIEW,Scheme A,E,2021-06-01,Y
VI,3J4289456,CBSA DISCOUNT,TO REVIEW,Not included,C,2020-05-31,Y
VI,3C2112030,Authorization Bypass fee,TO REVIEW,Not included,C,2020-05-31,Y
VI,3B1102122,ACQUIRING POS VOLUME DEFERRED DEBIT AND CREDIT,TO REVIEW,Not included,A,2019-08-31,Y
VI,3B1102123,ACQUIRING POS VOLUME IMMEDIATE DEBIT,TO REVIEW,Not included,A,2019-08-31,Y
VI,3B1102108,ACQUIRER VISA EUROPE E-COMMERCE,TO REVIEW,Not included,A,2019-08-31,Y
VI,3Z9903600,MOTO FEE,TO REVIEW,Not included,A,2019-08-31,Y
VI,3B1103143,VISA DIRECT ACQUIRING - DOMESTIC OCT NON-MONEY TRANSFER,TO REVIEW,Not included,A,2020-05-31,Y
VI,3B1103144,VISA DIRECT ACQUIRING - INTRA REGIONAL OCT NON-MONEY TRANSFER,TO REVIEW,Not included,A,2020-05-31,Y
VI,3F3516751,NON EEA CREDIT CHARGEBACK - INTRA REGIONAL,TO REVIEW,Not included,D,2020-04-30,Y
VI,3F3516795,CASH REPRESENTMENT REVERSAL - INTRA REGIONAL,A,Not included,Not included,2019-07-31,N
VI,3C2163442,DIGITAL IMPLEMENTATIONS PROJECT MANAGEMENT,TO REVIEW,Not included,C,2021-01-31,Y
VI,3Z9900050,Me-to-Me programme administration fees,Implemt-Proj,Scheme B,C,2021-09-01,Y
VI,3Z9900051,Me-to-Me payment merchant programme (VAT),TO REVIEW,Scheme B,V,2021-09-01,Y
VI,3Q6500004,BRAND PROTECTION - IDENTIFICATION NON-COMPLIANCE FINE,TO REVIEW,One off,C,2020-03-31,Y
VI,3F3610300,PURCHASE ORIGINAL - DOMESTIC,TO REVIEW,Scheme A,Not included,2019-11-30,N
VI,1F3529080,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-07-31,N
VI,2F3529080,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-10-31,N
VI,4F3529080,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-07-31,N
VI,6F3529080,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-07-31,N
VI,5F3529080,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-10-31,N
VI,3Z9900044,Waiver submission/AID assignment administration fee,TO REVIEW,Scheme B,C,2021-12-01,Y
VI,2F3529090,Special Handling Fee for Non-Compliant ATM Transactions **,FINE,Non Sales,Not included,2019-07-31,N
VI,3F3624100,FEE COLLECTION,A,Scheme B,B,2021-12-01,Y
VI,3Z9989341,0,Adjustment,Not included,Not included,2020-12-31,N
VI,3Z9989342,0,Adjustment,Not included,Not included,2020-12-31,N
VI,3Z9989343,0,Adjustment,Not included,Not included,2020-12-31,N
VI,3F3163435,VISANET ACCESS FEE,B,Scheme B,B,2022-10-01,Y
VI,3M6145321,VISA EUROPE ANNUAL AGENT REGISTRATION FEE (VE ML 37/07),TO REVIEW,Scheme B,F,2022-10-01,Y
VI,3D2650510,INTRA REGIONAL ATM FEES,TO REVIEW,Non Sales,Not included,2020-10-31,N
VI,3D2650500,INTER REGIONAL ATM FEE,TO REVIEW,Non Sales,Not included,2020-10-31,N
VI,3D2650511,INTRA-REGIONAL ATM FEE V PAY ONLY,TO REVIEW,Non Sales,Not included,2020-10-31,N
VI,3M6145301,DCC at ATM Annual Participation Fee,C,Not included,B,2019-10-31,Y
VI,3F3518200,PURCHASE REPRESENTMENT REVERSAL - DOMESTIC,A,Non-Sales,D,2021-05-01,Y
VI,3Y8800610,VENDOR CHIP TOOL KIT,Implemt-Proj,Scheme B,B,2021-09-01,Y
VI,3Y8800611,VENDOR CHIP TOOL KIT,Implemt-Proj,Scheme B,B,2021-09-01,Y
VI,3Q6561907,0,TO REVIEW,Scheme B,F,2022-07-31,Y
VI,3Z9963301,VISA BUSINESS SCHOOL WORKSHOPS,Non-sale,Not included,B,2021-04-01,Y
VI,3J4299615,ACQUIRER AUTHORISATION INTRA NON VISA POS,TO REVIEW,Scheme A,A,2021-05-01,Y
VI,3M6142306,0,TO REVIEW,Scheme B,D,2021-06-01,Y
VI,3C2163491,0,B,Scheme B,E,2021-08-01,Y
VI,3C2163492,0,B,Scheme B,E,2021-08-01,Y
VI,3C2163493,0,B,Scheme B,E,2021-08-01,Y
VI,3B1121006,0,TO REVIEW,Scheme B,A,2022-08-01,Y
VI,3J4274062,NON EEA POS CANCELLATION - INTRA REGIONAL SWISS,A,Non-Sales,C,2022-10-01,Y
VI,3C2163436,BASE I CERTIFICATION FEES,TO REVIEW,Not included,C,2019-07-31,Y
VI,3F3530225,OC FEE (AP ISSUER) PRESENTMENT,TO REVIEW,Not included,E,2019-10-31,Y
VI,1D2652506,Billing lines from USA region,TO REVIEW,Not included,A,2019-07-31,Y
VI,3F3610500,CREDIT ORIGINAL - DOMESTIC,TO REVIEW,Non Sales,Not included,2019-08-31,N
VI,3F3516717,NON EEA PURCHASE REPRESENTMENT - INTRA REGIONAL SWISS,TO REVIEW,Scheme B,D,2019-07-31,Y
VI,6Y8800610,Billing lines from CEMEA region,TO REVIEW,Not included,B,2019-07-31,Y
VI,6Y8800611,Billing lines from CEMEA region,TO REVIEW,Not included,B,2019-07-31,Y
VI,3J4275225,0,B,Not included,Not included,2022-11-01,N
VI,3B1103152,0,TO REVIEW,Not included,C,2023-01-01,Y
VI,3J4255128,0,TO REVIEW,Not included,C,2023-01-01,Y
VI,3H4095054,VTS ACQUIRER AUTHENTICATION SERVICE FEE,TO REVIEW,Not included,B,2023-01-01,Y
VI,3J4275240,CHARGEBACK REVERSAL - INTRA REGIONAL,TO REVIEW,Non-Sales,Not included,2022-05-31,N
VI,3J4288860,CHARGEBACK REVERSAL - INTERNATIONAL,TO REVIEW,Non Sales,Not included,2022-05-31,N
VI,3F3618400,CREDIT REPRESENTMENT REVERSAL - DOMESTIC,TO REVIEW,Non Sales,D,2022-04-30,Y
VI,3J4260820,FEE COLLECTION-DOMESTIC,TO REVIEW,Not included,Not included,2022-04-30,N
VI,3J4260840,FUNDS DISBURSEMENT-DOMESTIC,TO REVIEW,Not included,Not included,2022-04-30,N
VI,3CSF02770,INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - ROMANIA,B,Not included,B,2022-10-01,Y
VI,3CSF02805,ISSUER INNOVATION AND MARKET DEVELOPMENT VOLUME FEE - GERMANY,TO REVIEW,Not included,E,2023-01-01,Y
VI,3VAS00500,0,TO REVIEW,Not included,B,2022-07-31,Y
VI,3F3528904,NON EEA INTERNATIONAL ACQUIRING FEE ( BL for UK GIBRALTAR),TO REVIEW,Not included,A,2023-01-01,Y
VI,3B1102147,ACQUIRER NON EEA INTERNATIONAL CARD NOT PRESENT UK GIBRALTOR,TO REVIEW,Not included,A,2023-01-01,Y
VI,3J4216741,NON EEA INTRA-REGIONAL CHARGEBACK ACQUIRER,TO REVIEW,Non Sales,Not included,2022-08-01,N
VI,3CSF07106,0,A,Scheme A,A,2021-01-01,Y
VI,3CSF07107,0,A,Not included,Not included,2021-01-01,N
VI,3CSF07108,0,A,Not included,Not included,2021-01-01,N
VI,3CSF07109,0,A,Not included,Not included,2021-01-01,N
VI,3CSF07111,0,A,Scheme A,A,2021-01-01,Y
VI,3Q6561906,0,TO REVIEW,Not included,B,2022-09-01,Y
VI,3F3528905,NON EEA INTERNATIONAL ACQUIRING FEE MICROSTATES,TO REVIEW,Not included,A,2022-12-01,Y
VI,3J4216745,0,TO REVIEW,Not included,D,2023-01-01,Y
VI,3J4216744,0,TO REVIEW,Not included,D,2023-01-01,Y
VI,3F4020002,0,TO REVIEW,Not included,B,2023-01-01,Y
VI,3F4020024,0,TO REVIEW,Not included,B,2023-01-01,Y
VI,3F4020005,0,TO REVIEW,Not included,B,2023-01-01,Y
VI,3F4020027,0,TO REVIEW,Not included,B,2023-01-01,Y
VI,3F4020026,0,TO REVIEW,Non Sales,Not included,2023-01-01,N
VI,3VAS03154,0,TO REVIEW,Not included,C,2022-12-01,Y
VI,3CSF02771,0,B,Not included,E,2023-01-01,Y
VI,3C2133080,PMS Monthly Participation Fee,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3J4209180,CASH ORIG WITHDRAWAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-11-30,N
VI,3J4293400,VE CROSS BORDER SERVICE ASSESSSMENT FEE,TO REVIEW,Not included,Not included,2020-11-30,N
VI,3C2123111,FILE RESIDENCY,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3C2111021,AUTHORISATION BY BASE - Non EAA INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2112180,ACTIVITY FILE CHECK&ADVICE CREATION - DOMESTIC,TO REVIEW,Not included,Not included,2019-10-31,N
VI,3C2112160,ADVICE CREATION - DOMESTIC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3C2121355,BIOSR600 EXCEPTION FILE UPDATE,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2121360,BIOSR610 EXCEPTION FILE LISTING,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2121365,BIOSRUP EXCEPTION FILE LISTING,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2121370,BIOSRLP EXCEPTION FILE LISTING (DATA),TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2121379,CVV6110 ISSUER BIN TOTALS,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2133057,PIN CHANGE TRANSACTION FEE,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3C2133059,PIN UNBLOCK TRANSACTION FEE,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3C2133030,PIN HANDLING,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3H4010111,060 - TRANSACTION INQUIRY (WITHIN SIX MONTHS),TO REVIEW,Not included,Not included,2022-12-01,N
VI,3H4010127,570 - FRAUD REPORT SUBMITTED,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3H4010133,DISPUTE SUBMITTED COLLABORATION AND ALLOCATION,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3C2112800,Issuer AFD Advices Domestic,TO REVIEW,Not included,Not included,2019-11-30,N
VI,3C2112810,Issuer AFD Advices Intra,TO REVIEW,Not included,Not included,2020-02-29,N
VI,3C2123150,CHANGE LISTED ACCOUNT,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3P4506210,VISA CHIP AUTHENTICATE (DOMESTIC),TO REVIEW,Not included,Not included,2020-02-29,N
VI,3P4506211,VISA CHIP AUTHENTICATE (INTERNATIONAL),TO REVIEW,Not included,Not included,2020-02-29,N
VI,3F3510160,CASH ORIGINALS - INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3510161,CASH ORIGINALS - NON EEA INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3513300,CASH ORIGINAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3510220,CASH ORIGINAL REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3527900,TEXT MESSAGE,TO REVIEW,Not included,Not included,2022-06-30,N
VI,3F3510700,CASH ORIGINAL - DOMESTIC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3514100,PURCHASE ORIGINAL REVERSAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-10-31,N
VI,3F3514500,CASH ORIGINAL REVERSAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3511900,CASH ORIGINAL REVERSAL - DOMESTIC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3510190,CASH CHARGEBACK - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-04-30,N
VI,3J4207100,BATCH DEFERRED CLEARING - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3J4209140,POS CANCELLATION - INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3J4202040,FINANCIAL REVERSAL - DOMESTIC,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3J4212200,FINANCIAL REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-02-29,N
VI,3J4229900,FINANCIAL REVERSAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2020-02-29,N
VI,3F3529307,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL MC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3529308,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SWISS MC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3529337,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3529338,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SWISS SC,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3C2123185,ADDITION OF AN ACCOUNT,TO REVIEW,Not included,Not included,2019-10-31,N
VI,3J4293547,SMS ISSUER AUTH Non EEA INTRA - STIP ,TO REVIEW,Not included,Not included,2020-04-30,N
VI,3J4209141,POS CANCELLATION - INTRA REGIONAL,TO REVIEW,Not included,Not included,2021-01-31,N
VI,3F3514300,CREDIT ORIGINAL REVERSAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-11-30,N
VI,3CSF03330,VISA CREDIT B2B CARD FEE,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3H4010126,EXCEPTION FILE ADDS/CHANGES/INQUIRY/DELETES,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3Z9903251,CARD DESIGN FEES,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3Z9903253,CARD DESIGN FEE VAT,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3F3510165,CASH REPRESENTMENT - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-07-31,N
VI,3F3511500,PURCHASE ORIGINAL REVERSAL - DOMESTIC,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3F3511300,CASH CHARGEBACK - DOMESTIC,TO REVIEW,Not included,Not included,2020-04-30,N
VI,3J4293536,ISSUER SHARE OF ISA-INTER-REGIONAL SC,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3F3510230,PURCHASE CHARGEBACK REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-03-31,N
VI,3F3510189,ISA INTER ISSUER DISCOUNT SC,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3J4212048,ISA INTER ISSUER DISCOUNT MC,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3Z9929307,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL MC Discount,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3Z9929308,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SWISS MC Discount,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3Z9929337,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SC Discount,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3Z9929338,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SWISS SC Discount,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3H4010144,DECLINE EXCEPTION REVIEW,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3B1102120,CONSUMER POS CEV DOMESTIC AND INTRA IMMEDIATE DEBIT,TO REVIEW,Not included,Not included,2019-08-31,N
VI,3B1102121,CONSUMER INTER REGIONAL CEV FEE,TO REVIEW,Not included,Not included,2019-08-31,N
VI,3F3510210,CREDIT ORIGINAL REVERSAL - INTRA REGIONAL,TO REVIEW,Not included,Not included,2020-05-31,N
VI,3F3513900,CASH CHARGEBACK - INTERNATIONAL,TO REVIEW,Not included,Not included,2020-03-31,N
VI,3J4260890,RECONCILIATION TRANSACTION-DOMESTIC,TO REVIEW,Not included,Not included,2019-11-30,N
VI,3J4202240,RECONCILIATION TRANSACTION - DOMESTIC,TO REVIEW,Not included,Not included,2019-11-30,N
VI,3F3516736,NON EEA CASH REPRESENTMENT - INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-08-31,N
VI,3F3521700,CASH CHARGEBACK REVERSAL - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-10-31,N
VI,3N6210200,LOST/STOLEN REPORTS CLASSIC,TO REVIEW,Not included,Not included,2021-01-31,N
VI,3J4230060,FEE COLLECTION - INTERNATIONAL,TO REVIEW,Not included,Not included,2021-01-31,N
VI,3J4230080,FUNDS DISBURSEMENT - INTERNATIONAL,TO REVIEW,Not included,Not included,2021-01-31,N
VI,3M6145029,VROL INTL CASE FILING REVIEW,TO REVIEW,Not included,Not included,2020-10-31,N
VI,3J4296009,EXCESSIVE ISSUER CNP DISPUTES,TO REVIEW,Not included,Not included,2020-12-31,N
VI,3Z9903115,VISA BUSINESS SCHOOL VAT,TO REVIEW,Not included,Not included,2019-12-31,N
VI,3Z9903118,VISA SYSTEM BUSINESS ENHANCEMENTS,TO REVIEW,Not included,Not included,2019-12-31,N
VI,3C2163489,VEA HI SPEC SERVER,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121355,BIOSR600 EXCEPTION FILE UPDATE ,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121360,BIOSR610 EXCEPTION FILE LISTING ,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121379,CVV6110 ISSUER BIN TOTALS,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121365,Billing lines from USA region,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121370,Billing lines from USA region,TO REVIEW,Not included,Not included,2019-07-31,N
VI,1C2121377,CVV1100 CVV ERROR LISTING ,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3J4212440,FEE COLLECTION - INTRA REGIONAL,TO REVIEW,Not included,Not included,2019-09-30,N
VI,3C2111035,EXCEPTION FILE CHECK ONLY - INTERNATIONAL,TO REVIEW,Not included,Not included,2019-07-31,N
VI,3F3529340,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL SC ( BL for UK GIBRALTAR),TO REVIEW,Not included,Not included,2023-01-01,N
VI,3D2650520,NON EEA INTRA REGIONAL ATM - CASH BASE - VPAY ONLY MICROSTATES,TO REVIEW,Not included,Not included,2022-06-30,N
VI,3F3529309,ISSUER SHARE OF ISA-NON EEA INTRA-REGIONAL MC UK GIBRALTOR,TO REVIEW,Not included,Not included,2022-12-01,N
VI,3D2650523,NON EEA INTRA REGIONAL ATM - CASH ENHANCED - VPAY ONLY MICROSTATES,TO REVIEW,Not included,Not included,2022-10-01,N
VI,3J4296003,NON-CHIP TERMINAL DOMESTIC TRANSACTIONS,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3J4296004,NON-CHIP TERMINAL INTERNATIONAL TRANSACTIONS,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3B1103151,0,TO REVIEW,Not included,Not included,2022-08-01,N
VI,3F4020010,0,TO REVIEW,Not included,Not included,2023-01-01,N
VI,3F4020008,0,TO REVIEW,Not included,Not included,2023-01-01,N
